Date,MSFT
2000-11-07,23.302616
2000-11-08,22.951418
2000-11-09,23.426558
2000-11-10,22.269697
2000-11-13,21.95982
2000-11-14,22.744835000000002
2000-11-15,23.158007
2000-11-16,22.78615
2000-11-17,22.827467000000002
2000-11-20,22.207714000000003
2000-11-21,22.393639
2000-11-22,22.558908
2000-11-24,23.116684
2000-11-27,23.364586
2000-11-28,22.145746
2000-11-29,21.505335000000002
2000-11-30,18.964365
2000-12-01,18.716459
2000-12-04,18.654478
2000-12-05,19.790691
2000-12-06,18.737118
2000-12-07,17.559587
2000-12-08,17.993425
2000-12-11,19.191607
2000-12-12,19.294889
2000-12-13,18.92305
2000-12-14,18.344607999999997
2000-12-15,16.258121
2000-12-18,15.803632
2000-12-19,14.812032
2000-12-20,13.717138
2000-12-21,14.357557
2000-12-22,15.349153
2000-12-26,15.493751999999999
2000-12-27,15.349153
2000-12-28,14.729398000000002
2000-12-29,14.336884
2001-01-02,14.336884
2001-01-03,15.84495
2001-01-04,16.010218
2001-01-05,16.237453
2001-01-08,16.175482000000002
2001-01-09,17.125763
2001-01-10,17.476965
2001-01-11,18.179344
2001-01-12,17.683538000000002
2001-01-16,17.373663
2001-01-17,17.497612
2001-01-18,18.344607999999997
2001-01-19,20.162537
2001-01-22,19.873327
2001-01-23,20.017939000000002
2001-01-24,20.80295
2001-01-25,20.431103
2001-01-26,21.154142
2001-01-29,21.319405
2001-01-30,20.947557
2001-01-31,20.183195
2001-02-01,20.617023
2001-02-02,20.100569
2001-02-05,20.472414
2001-02-06,20.678995
2001-02-07,21.381382000000002
2001-02-08,20.575708
2001-02-09,19.542791
2001-02-12,19.418846
2001-02-13,19.23292
2001-02-14,19.294889
2001-02-15,19.439501
2001-02-16,18.943697
2001-02-20,18.468557
2001-02-21,18.59251
2001-02-22,18.241322
2001-02-23,18.757773999999998
2001-02-26,19.687399
2001-02-27,19.625432999999997
2001-02-28,19.501472
2001-03-01,19.620228
2001-03-02,18.737118
2001-03-05,18.985016
2001-03-06,19.646085999999997
2001-03-07,20.059248
2001-03-08,19.58411
2001-03-09,18.737118
2001-03-12,17.16708
2001-03-13,17.910785999999998
2001-03-14,17.848803
2001-03-15,17.745520000000003
2001-03-16,18.034733
2001-03-19,17.952099
2001-03-20,17.414982000000002
2001-03-21,16.547331
2001-03-22,17.848803
2001-03-23,18.695805
2001-03-26,18.530537
2001-03-27,19.253574
2001-03-28,18.365267000000003
2001-03-29,18.303293
2001-03-30,18.076056
2001-04-02,18.447899
2001-04-03,17.642221
2001-04-04,17.16708
2001-04-05,18.757773999999998
2001-04-06,18.57185
2001-04-09,18.889988
2001-04-10,19.726242000000003
2001-04-11,19.845232
2001-04-12,20.552576000000002
2001-04-16,20.09313
2001-04-17,20.321194000000002
2001-04-18,21.626801999999998
2001-04-19,22.4895
2001-04-20,22.806812
2001-04-23,22.558908
2001-04-24,22.327532
2001-04-25,23.034879999999998
2001-04-26,22.849777
2001-04-27,22.185408
2001-04-30,22.393639
2001-05-01,23.193525
2001-05-02,23.058014
2001-05-03,22.651457
2001-05-04,23.385244
2001-05-07,23.593481
2001-05-08,23.818237
2001-05-09,23.269556
2001-05-10,23.137344
2001-05-11,22.939020000000003
2001-05-14,22.714261999999998
2001-05-15,22.565521
2001-05-16,22.859695000000002
2001-05-17,22.532465
2001-05-18,22.506021
2001-05-21,22.737392
2001-05-22,23.239805
2001-05-23,23.038189000000003
2001-05-24,23.70586
2001-05-25,23.438135
2001-05-29,23.249725
2001-05-30,22.869616
2001-05-31,22.866298999999998
2001-06-01,23.249725
2001-06-04,23.395157
2001-06-05,23.996733
2001-06-06,23.9174
2001-06-07,24.353714
2001-06-08,24.191744
2001-06-11,23.838076
2001-06-12,23.824856
2001-06-13,23.365417
2001-06-14,22.773761999999998
2001-06-15,22.482885
2001-06-18,22.106081
2001-06-19,22.251514
2001-06-20,22.942329
2001-06-21,23.084454
2001-06-22,22.75062
2001-06-25,22.757231
2001-06-26,23.183619
2001-06-27,23.514154
2001-06-28,24.043007
2001-06-29,24.128951999999998
2001-07-02,23.335665
2001-07-03,23.29269
2001-07-05,22.64485
2001-07-06,21.835035
2001-07-09,21.712749
2001-07-10,21.312799
2001-07-11,21.980476
2001-07-12,23.666199
2001-07-13,23.580263000000002
2001-07-16,23.527376
2001-07-17,23.738916
2001-07-18,23.325747
2001-07-19,23.986813
2001-07-20,22.866298999999998
2001-07-23,22.175489000000002
2001-07-24,21.920977
2001-07-25,22.304403
2001-07-26,22.010235
2001-07-27,21.640028
2001-07-30,21.749107000000002
2001-07-31,21.878014
2001-08-01,21.970562
2001-08-02,22.294477
2001-08-03,22.109382999999998
2001-08-06,21.858179
2001-08-07,21.930902
2001-08-08,21.438404000000002
2001-08-09,21.487986
2001-08-10,21.656563000000002
2001-08-13,21.759026000000002
2001-08-14,21.382206
2001-08-15,20.889717
2001-08-16,21.359079
2001-08-17,20.453409
2001-08-20,20.724445000000003
2001-08-21,20.089825
2001-08-22,20.050161
2001-08-23,19.541138
2001-08-24,20.509605
2001-08-27,20.595539000000002
2001-08-28,20.076604999999997
2001-08-29,19.914644
2001-08-30,18.820585
2001-08-31,18.856934
2001-09-04,18.542932999999998
2001-09-05,19.085009
2001-09-06,18.516481
2001-09-07,18.311557999999998
2001-09-10,19.032116000000002
2001-09-17,17.488531
2001-09-18,17.954586
2001-09-19,17.805836
2001-09-20,16.777884
2001-09-21,16.430822
2001-09-24,17.191046
2001-09-25,16.956369
2001-09-26,16.615919
2001-09-27,16.513447
2001-09-28,16.913397
2001-10-01,17.118326
2001-10-02,17.534796
2001-10-03,18.585898999999998
2001-10-04,18.655306
2001-10-05,19.07839
2001-10-08,19.184166
2001-10-09,18.033904999999997
2001-10-10,18.347906
2001-10-11,18.615643
2001-10-12,18.635479
2001-10-15,19.190781
2001-10-16,19.319681
2001-10-17,18.519787
2001-10-18,18.757773999999998
2001-10-19,19.137885999999998
2001-10-22,19.884888
2001-10-23,19.974138
2001-10-24,20.268311999999998
2001-10-25,20.678175
2001-10-26,20.559182999999997
2001-10-29,19.713015
2001-10-30,19.461810999999997
2001-10-31,19.220523999999997
2001-11-01,20.440189
2001-11-02,20.294762
2001-11-05,20.912855
2001-11-06,21.411963
2001-11-07,21.236769
2001-11-08,21.292965
2001-11-09,21.554092
2001-11-12,21.745798
2001-11-13,22.443224
2001-11-14,21.798681
2001-11-15,21.854874
2001-11-16,21.732574
2001-11-19,21.9937
2001-11-20,21.616894
2001-11-21,21.170666
2001-11-23,21.388817
2001-11-26,21.530954
2001-11-27,21.068205
2001-11-28,20.757504
2001-11-29,21.431787
2001-11-30,21.223557
2001-12-03,21.408648
2001-12-04,21.815214
2001-12-05,22.509329
2001-12-06,22.691128
2001-12-07,22.42009
2001-12-10,22.165579
2001-12-11,22.251514
2001-12-12,22.459749
2001-12-13,21.904449
2001-12-14,22.291173999999998
2001-12-17,22.800201
2001-12-18,22.896046
2001-12-19,22.968781
2001-12-20,22.066414
2001-12-21,22.324232000000002
2001-12-24,22.234987
2001-12-26,22.370502
2001-12-27,22.426691
2001-12-28,22.433308
2001-12-31,21.897842
2002-01-02,22.15897
2002-01-03,22.882835
2002-01-04,22.773761999999998
2002-01-07,22.661371
2002-01-08,22.932413
2002-01-09,22.710957999999998
2002-01-10,22.899361
2002-01-11,22.677902
2002-01-14,22.631622
2002-01-15,22.9886
2002-01-16,22.433308
2002-01-17,23.091070000000002
2002-01-18,21.848260999999997
2002-01-22,21.306194
2002-01-23,21.068205
2002-01-24,21.352460999999998
2002-01-25,21.088039000000002
2002-01-28,21.094645
2002-01-29,20.59885
2002-01-30,20.774029000000002
2002-01-31,21.058283
2002-02-01,20.711231
2002-02-04,20.202209
2002-02-05,20.212120000000002
2002-02-06,19.964228
2002-02-07,19.765905
2002-02-08,20.046848
2002-02-11,20.205515
2002-02-12,19.878286
2002-02-13,20.433584
2002-02-14,20.387304
2002-02-15,19.908031
2002-02-19,19.478338
2002-02-20,19.798952
2002-02-21,19.187471
2002-02-22,19.167639
2002-02-25,19.527918
2002-02-26,19.352739
2002-02-27,19.299847
2002-02-28,19.283323
2002-03-01,20.284842
2002-03-04,20.922771
2002-03-05,20.85005
2002-03-06,21.031839
2002-03-07,20.731054
2002-03-08,21.137619
2002-03-11,21.266529000000002
2002-03-12,20.671572
2002-03-13,20.526123000000002
2002-03-14,20.23526
2002-03-15,20.655043
2002-03-18,20.539345
2002-03-19,20.569096
2002-03-20,19.865064999999998
2002-03-21,20.281534
2002-03-22,19.980747
2002-03-25,19.577501
2002-03-26,19.527918
2002-03-27,19.646915
2002-03-28,19.934469
2002-04-01,19.957604999999997
2002-04-02,18.932955
2002-04-03,18.618942
2002-04-04,18.658613
2002-04-05,18.466908
2002-04-08,18.913128
2002-04-09,18.136372
2002-04-10,18.609039000000003
2002-04-11,18.109932
2002-04-12,18.486731
2002-04-15,18.407413000000002
2002-04-16,19.108137
2002-04-17,18.718115
2002-04-18,18.632168
2002-04-19,18.906519
2002-04-22,18.374352
2002-04-23,17.845503
2002-04-24,17.524878
2002-04-25,17.759562
2002-04-26,17.022472
2002-04-29,17.267067
2002-04-30,17.273678
2002-05-01,17.435638
2002-05-02,16.926619
2002-05-03,16.381241
2002-05-06,16.070535999999997
2002-05-07,16.351494
2002-05-08,18.16943
2002-05-09,17.227406
2002-05-10,16.543203
2002-05-13,17.415802
2002-05-14,18.139681
2002-05-15,18.09671
2002-05-16,18.423941
2002-05-17,18.519787
2002-05-20,17.852111999999998
2002-05-21,17.250542000000003
2002-05-22,17.746346
2002-05-23,18.119841
2002-05-24,17.604219
2002-05-28,17.293514000000002
2002-05-29,17.204268
2002-05-30,17.399281
2002-05-31,16.827461
2002-06-03,16.334963000000002
2002-06-04,16.520067
2002-06-05,17.075363
2002-06-06,17.154685999999998
2002-06-07,17.181128
2002-06-10,17.458784
2002-06-11,17.376144
2002-06-12,18.357826
2002-06-13,17.921526
2002-06-14,18.261976
2002-06-17,18.404107999999997
2002-06-18,18.506577
2002-06-19,17.967798000000002
2002-06-20,17.881860999999997
2002-06-21,17.280285
2002-06-24,17.901692999999998
2002-06-25,17.501745
2002-06-26,17.891779
2002-06-27,18.152905
2002-06-28,18.080185
2002-07-01,17.405888
2002-07-02,17.002636
2002-07-03,17.134860999999997
2002-07-05,18.129763
2002-07-08,17.491835000000002
2002-07-09,17.587683
2002-07-10,17.267067
2002-07-11,17.488531
2002-07-12,17.141460000000002
2002-07-15,17.121632
2002-07-16,16.939846
2002-07-17,17.187744
2002-07-18,16.893568
2002-07-19,16.381241
2002-07-22,15.703655
2002-07-23,14.216242000000001
2002-07-24,15.28057
2002-07-25,14.156748
2002-07-26,14.989691
2002-07-29,15.94824
2002-07-30,15.898659
2002-07-31,15.858994000000001
2002-08-01,15.121903
2002-08-02,14.678987
2002-08-05,14.540164
2002-08-06,15.095460999999998
2002-08-07,15.564817999999999
2002-08-08,16.166388
2002-08-09,15.905268
2002-08-12,16.020951999999998
2002-08-13,15.554904
2002-08-14,16.430822
2002-08-15,16.450657
2002-08-16,16.526678
2002-08-19,17.187744
2002-08-20,16.870424
2002-08-21,17.280285
2002-08-22,17.594301
2002-08-23,17.260454
2002-08-26,17.220798000000002
2002-08-27,16.804329
2002-08-28,16.321745
2002-08-29,16.71838
2002-08-30,16.222591
2002-09-03,15.541689000000002
2002-09-04,15.935019
2002-09-05,15.174792000000002
2002-09-06,15.80611
2002-09-09,16.096989
2002-09-10,16.457264000000002
2002-09-11,16.057316
2002-09-12,15.584653
2002-09-13,15.835865
2002-09-16,15.792889
2002-09-17,15.630925
2002-09-18,15.782975
2002-09-19,15.601176999999998
2002-09-20,15.687114999999999
2002-09-23,14.950025
2002-09-24,15.085545999999999
2002-09-25,15.373113
2002-09-26,15.270651999999998
2002-09-27,14.956638
2002-09-30,14.457539
2002-10-01,15.28057
2002-10-02,15.075626000000002
2002-10-03,14.807898000000002
2002-10-04,14.467448999999998
2002-10-07,14.56
2002-10-08,14.870703
2002-10-09,14.540164
2002-10-10,15.330144
2002-10-11,16.153170000000003
2002-10-14,16.291995999999997
2002-10-15,17.283596
2002-10-16,16.662189
2002-10-17,16.781185
2002-10-18,17.567854
2002-10-21,17.356316
2002-10-22,17.078665
2002-10-23,17.584385
2002-10-24,16.933231
2002-10-25,17.412504000000002
2002-10-28,17.171217000000002
2002-10-29,17.21088
2002-10-30,17.554636
2002-10-31,17.673624
2002-11-01,17.518272
2002-11-04,18.542932999999998
2002-11-05,18.734642
2002-11-06,18.850320999999997
2002-11-07,18.51318
2002-11-08,18.212397
2002-11-11,17.802534
2002-11-12,18.017384
2002-11-13,18.298328
2002-11-14,18.837097
2002-11-15,18.737946
2002-11-18,18.460293
2002-11-19,18.133072
2002-11-20,18.714809
2002-11-21,19.118052
2002-11-22,19.243658
2002-11-25,19.246962
2002-11-26,18.807354
2002-11-27,19.197384
2002-11-29,19.065172
2002-12-02,19.06847
2002-12-03,18.744553
2002-12-04,18.688366000000002
2002-12-05,18.291725
2002-12-06,18.334692
2002-12-09,17.693459
2002-12-10,17.852111999999998
2002-12-11,18.066963
2002-12-12,17.904993
2002-12-13,17.353004000000002
2002-12-16,18.007460000000002
2002-12-17,17.967798000000002
2002-12-18,17.693459
2002-12-19,17.554636
2002-12-20,17.531496
2002-12-23,17.848803
2002-12-24,17.789314
2002-12-26,17.647177
2002-12-27,17.508352
2002-12-30,17.435638
2002-12-31,17.088587
2003-01-02,17.756264
2003-01-03,17.779396
2003-01-06,18.103317
2003-01-07,18.443775
2003-01-08,17.928137
2003-01-09,18.447073
2003-01-10,18.483431
2003-01-13,18.638779
2003-01-14,18.8305
2003-01-15,18.599121
2003-01-16,18.295029
2003-01-17,17.009253
2003-01-21,16.966282
2003-01-22,16.857208
2003-01-23,17.280285
2003-01-24,16.477091
2003-01-27,16.252325
2003-01-28,16.136648
2003-01-29,16.496923000000002
2003-01-30,15.944932000000001
2003-01-31,15.687114999999999
2003-02-03,16.050703
2003-02-04,15.640842000000001
2003-02-05,15.521849
2003-02-06,15.673893
2003-02-07,15.396251999999999
2003-02-10,15.660675
2003-02-11,15.349976000000002
2003-02-12,15.349976000000002
2003-02-13,15.531765
2003-02-14,15.964768
2003-02-18,16.500235
2003-02-19,16.268116
2003-02-20,16.009466
2003-02-21,16.334438000000002
2003-02-24,15.963045000000001
2003-02-25,16.042631
2003-02-26,15.657976999999999
2003-02-27,15.638082999999998
2003-02-28,15.717659
2003-03-03,15.611557000000001
2003-03-04,15.299848999999998
2003-03-05,15.545239000000002
2003-03-06,15.432492000000002
2003-03-07,15.624807999999998
2003-03-10,15.220266
2003-03-11,15.120789000000002
2003-03-12,15.512082999999999
2003-03-13,16.360964000000003
2003-03-14,16.486963
2003-03-17,17.196585
2003-03-18,17.269541
2003-03-19,17.455227
2003-03-20,17.408807999999997
2003-03-21,17.621025
2003-03-24,16.772144
2003-03-25,16.904776000000002
2003-03-26,16.745613
2003-03-27,16.606342
2003-03-28,16.360964000000003
2003-03-31,16.055895
2003-04-01,16.148739000000003
2003-04-02,17.057314
2003-04-03,17.063938
2003-04-04,16.639502
2003-04-07,16.692554
2003-04-08,16.964468
2003-04-09,16.29464
2003-04-10,16.307903
2003-04-11,16.049260999999998
2003-04-14,16.42065
2003-04-15,16.314532999999997
2003-04-16,16.526756
2003-04-17,16.911409
2003-04-21,16.719088
2003-04-22,17.083834
2003-04-23,17.057314
2003-04-24,16.904776000000002
2003-04-25,16.725714
2003-04-28,17.070583
2003-04-29,17.110364999999998
2003-04-30,16.957836
2003-05-01,17.057314
2003-05-02,17.309324
2003-05-05,17.150156
2003-05-06,17.488384
2003-05-07,17.23638
2003-05-08,17.070583
2003-05-09,17.481758
2003-05-12,17.375643
2003-05-13,17.23638
2003-05-14,16.990995
2003-05-15,17.103737
2003-05-16,16.957836
2003-05-19,16.42065
2003-05-20,16.334438000000002
2003-05-21,15.936518
2003-05-22,16.022728
2003-05-23,16.062532
2003-05-27,16.440548
2003-05-28,16.188526
2003-05-29,16.181904
2003-05-30,16.321163000000002
2003-06-02,16.341059
2003-06-03,16.500235
2003-06-04,16.493593
2003-06-05,15.976310999999999
2003-06-06,15.697764000000001
2003-06-09,15.750827
2003-06-10,16.367584
2003-06-11,16.500235
2003-06-12,16.573183
2003-06-13,16.347694
2003-06-16,16.838453
2003-06-17,17.216478
2003-06-18,17.289434
2003-06-19,17.289434
2003-06-20,17.461853
2003-06-23,17.097105
2003-06-24,17.044048
2003-06-25,16.752245000000002
2003-06-26,17.077211
2003-06-27,16.99762
2003-06-30,17.004259
2003-07-01,17.342493
2003-07-02,17.826618
2003-07-03,17.574604
2003-07-07,18.184734
2003-07-08,18.370434
2003-07-09,18.217894
2003-07-10,17.846510000000002
2003-07-11,18.11179
2003-07-14,18.171469000000002
2003-07-15,18.085264000000002
2003-07-16,18.25106
2003-07-17,17.700615
2003-07-18,17.833241
2003-07-21,17.269541
2003-07-22,17.49502
2003-07-23,17.541441
2003-07-24,17.243
2003-07-25,17.833241
2003-07-28,17.647558
2003-07-29,17.554707999999998
2003-07-30,17.395544
2003-07-31,17.514914
2003-08-01,17.355751
2003-08-04,17.362387
2003-08-05,17.017519
2003-08-06,17.010893
2003-08-07,17.050682000000002
2003-08-08,16.964468
2003-08-11,16.984365
2003-08-12,17.063938
2003-08-13,16.977726
2003-08-14,16.99762
2003-08-15,16.937936999999998
2003-08-18,17.044048
2003-08-19,17.654186
2003-08-20,17.541441
2003-08-21,17.40217
2003-08-22,17.388912
2003-08-25,17.574604
2003-08-26,17.621025
2003-08-27,17.521551000000002
2003-08-28,17.581228
2003-08-29,17.587870000000002
2003-09-02,18.078632
2003-09-03,18.768351000000003
2003-09-04,18.854568
2003-09-05,18.821405
2003-09-08,19.126478
2003-09-09,18.814772
2003-09-10,18.270958
2003-09-11,18.463283999999998
2003-09-12,18.794876000000002
2003-09-15,18.808142
2003-09-16,19.166271
2003-09-17,18.900982
2003-09-18,19.56418
2003-09-19,19.869249
2003-09-22,19.279010999999997
2003-09-23,19.630499
2003-09-24,18.874456
2003-09-25,18.728559
2003-09-26,18.695398
2003-09-29,19.119844
2003-09-30,18.436754
2003-10-01,18.914251
2003-10-02,18.900982
2003-10-03,19.285646
2003-10-06,19.358595
2003-10-07,19.325436
2003-10-08,19.113213000000002
2003-10-09,19.192791
2003-10-10,19.172898999999997
2003-10-13,19.086681
2003-10-14,19.020363
2003-10-15,19.387169
2003-10-16,19.493868
2003-10-17,19.2938
2003-10-20,19.573902
2003-10-21,19.573902
2003-10-22,19.267122
2003-10-23,19.28046
2003-10-24,17.746557
2003-10-27,17.946638
2003-10-28,18.140034
2003-10-29,17.833254
2003-10-30,17.419775
2003-10-31,17.433108999999998
2003-11-03,17.793243
2003-11-04,17.386426999999998
2003-11-05,17.406431
2003-11-06,17.493135000000002
2003-11-07,17.406431
2003-11-10,17.339745
2003-11-11,17.206362
2003-11-12,17.326399
2003-11-13,17.132996
2003-11-14,17.006281
2003-11-17,16.77286
2003-11-18,16.77286
2003-11-19,16.906254
2003-11-20,16.739517000000003
2003-11-21,16.746195
2003-11-24,17.159679
2003-11-25,16.939594
2003-11-26,16.972939
2003-11-28,17.146335999999998
2003-12-01,17.233042
2003-12-02,17.112995
2003-12-03,17.119660999999997
2003-12-04,17.473131
2003-12-05,17.326399
2003-12-08,17.4998
2003-12-09,17.593168
2003-12-10,17.733223000000002
2003-12-11,17.746557
2003-12-12,17.773236999999998
2003-12-15,17.833254
2003-12-16,18.046667000000003
2003-12-17,18.033325
2003-12-18,18.273415
2003-12-19,18.246744
2003-12-22,18.126704999999998
2003-12-23,18.106697
2003-12-24,18.033325
2003-12-26,18.146706
2003-12-29,18.313438
2003-12-30,18.353448999999998
2003-12-31,18.253408
2004-01-02,18.306772
2004-01-05,18.766941
2004-01-06,18.833628
2004-01-07,18.813617999999998
2004-01-08,18.780273
2004-01-09,18.446817000000003
2004-01-12,18.386793
2004-01-13,18.293426999999998
2004-01-14,18.473494
2004-01-15,18.366789
2004-01-16,18.546856
2004-01-20,18.740263
2004-01-21,18.873642
2004-01-22,18.680235
2004-01-23,18.993692000000003
2004-01-26,19.207094
2004-01-27,18.840296
2004-01-28,18.480167
2004-01-29,18.613546
2004-01-30,18.440153
2004-02-02,18.273415
2004-02-03,18.200064
2004-02-04,18.013325
2004-02-05,17.979983999999998
2004-02-06,18.060009
2004-02-09,17.939966000000002
2004-02-10,18.019993
2004-02-11,18.106697
2004-02-12,17.973305
2004-02-13,17.733223000000002
2004-02-17,17.999983
2004-02-18,17.853260000000002
2004-02-19,17.646526
2004-02-20,17.719885
2004-02-23,17.746557
2004-02-24,17.926624
2004-02-25,17.806583
2004-02-26,17.673203
2004-02-27,17.693203
2004-03-01,17.806583
2004-03-02,17.599833
2004-03-03,17.586504
2004-03-04,17.586504
2004-03-05,17.57316
2004-03-08,17.226361999999998
2004-03-09,17.153001999999997
2004-03-10,16.919588
2004-03-11,16.732854999999997
2004-03-12,16.92626
2004-03-15,16.779524
2004-03-16,16.79287
2004-03-17,16.759525
2004-03-18,16.599466
2004-03-19,16.426071
2004-03-22,16.339376
2004-03-23,16.105954999999998
2004-03-24,16.279348000000002
2004-03-25,16.79954
2004-03-26,16.692839000000003
2004-03-29,16.879572
2004-03-30,16.806219
2004-03-31,16.626144
