Date,Adj Close AAPL,Adj Close MSFT
2005-01-14,4.494974,19.563793
2005-01-18,4.523787,19.713583
2005-01-19,4.474483,19.458929
2005-01-20,4.511621,19.369053
2005-01-21,4.513542,19.211758
2005-01-24,4.530829,19.226746
2005-01-25,4.6134309999999985,19.488888
2005-01-26,4.6262370000000015,19.481401
2005-01-27,4.65121,19.556301
2005-01-28,4.73701,19.608727
2005-01-31,4.923981,19.683626
2005-02-01,4.964322,19.76602
2005-02-02,5.098785,19.818449
2005-02-03,4.98225,19.608727
2005-02-04,5.048202,19.713583
2005-02-07,5.0546050000000005,19.593748
2005-02-08,5.180105,19.653662
2005-02-09,5.041799,19.52634
2005-02-10,5.0174660000000015,19.518845
2005-02-11,5.199955,19.451441
2005-02-14,5.418941,19.481401
2005-02-15,5.660978,19.481401
2005-02-16,5.771111,19.376223
2005-02-17,5.622559,19.271034
2005-02-18,5.558527,19.143312
2005-02-22,5.461201,18.955488
2005-02-23,5.649451,18.932947
2005-02-24,5.694273,19.060667
2005-02-25,5.6981160000000015,18.970509
2005-02-28,5.744858,18.902891
2005-03-01,5.698756,18.99305
2005-03-02,5.650093,18.978022
2005-03-03,5.351707,18.910406
2005-03-04,5.4823309999999985,18.910406
2005-03-07,5.474646,19.135799
2005-03-08,5.19035,19.083204
2005-03-09,5.039236,19.015587
2005-03-10,5.100706,19.105742000000006
2005-03-11,5.1570529999999986,18.850294
2005-03-14,5.163457,18.865322
2005-03-15,5.2454160000000005,18.715065
2005-03-16,5.273589,18.504698
2005-03-17,5.410616,18.437082
2005-03-18,5.50154,18.26428
2005-03-21,5.5963059999999984,18.181633
2005-03-22,5.4848919999999985,18.023865
2005-03-23,5.449033999999998,18.166609
2005-03-24,5.442631,18.241745
2005-03-28,5.446473,18.181633
2005-03-29,5.346585,17.971268
2005-03-30,5.48105,18.151583
2005-03-31,5.33634,18.159096
2005-04-01,5.236452,18.121527
2005-04-04,5.262065,18.204178
2005-04-05,5.364514,18.384483
2005-04-06,5.420861,18.534756
2005-04-07,5.578376,18.857815
2005-04-08,5.601429,18.737602
2005-04-11,5.368356,18.760147
2005-04-12,5.463122,19.023102
2005-04-13,5.255662,18.812735
2005-04-14,4.771587,18.662472
2005-04-15,4.5269900000000005,18.376976000000006
2005-04-18,4.561567,18.519722
2005-04-19,4.749816,18.504698
2005-04-20,4.547479,18.271795
2005-04-21,4.761343,18.99305
2005-04-22,4.546198,18.767649
2005-04-25,4.735729,18.775167
2005-04-26,4.634561,18.602365
2005-04-27,4.603825,18.775167
2005-04-28,4.551322,18.369457
2005-04-29,4.617913,19.008066
2005-05-02,4.665296,18.955488
2005-05-03,4.637122,19.053154
2005-05-04,4.7575,18.940462
2005-05-05,4.697312,18.955488
2005-05-06,4.769027,18.947964
2005-05-09,4.734449,18.865322
2005-05-10,4.664015,18.707552
2005-05-11,4.560286,18.715065
2005-05-12,4.370753,18.782686
2005-05-13,4.452714,19.008066
2005-05-16,4.552601,19.211567
2005-05-17,4.52827,19.188961
2005-05-18,4.589739,19.36985
2005-05-19,4.808726,19.53565
2005-05-20,4.808726,19.399994
2005-05-23,5.091742,19.482899
2005-05-24,5.084058,19.407524
