"","de","a","ciudad","tipo","dif"
"68",2019-08-22 14:25:00,2019-08-22 14:44:00,"Europe/Amsterdam","Walking",19
"69",2019-08-23 19:29:00,2019-08-23 19:49:00,"Europe/Amsterdam","Walking",20
"70",2019-08-26 09:22:00,2019-08-26 09:54:00,"Europe/Amsterdam","Walking",32
"71",2019-08-26 13:15:00,2019-08-26 13:31:00,"Europe/Amsterdam","Walking",16
"72",2019-08-27 08:11:00,2019-08-27 08:23:00,"Europe/Amsterdam","Running",12
"73",2019-08-29 20:36:00,2019-08-29 21:06:00,"Europe/Amsterdam","Walking",30
"74",2019-08-30 07:23:00,2019-08-30 07:27:00,"Europe/Amsterdam","Walking",4
"75",2019-08-30 07:28:00,2019-08-30 07:43:00,"Europe/Amsterdam","Running",15
"76",2019-08-30 08:52:00,2019-08-30 09:14:00,"Europe/Amsterdam","Walking",22
"77",2019-08-30 13:16:00,2019-08-30 13:21:00,"Europe/Amsterdam","Walking",5
"78",2019-08-30 13:27:00,2019-08-30 13:31:00,"Europe/Amsterdam","Walking",4
"79",2019-08-30 13:45:00,2019-08-30 14:12:00,"Europe/Amsterdam","Walking",27
"80",2019-09-01 09:09:00,2019-09-01 09:14:00,"Europe/Amsterdam","Walking",5
"81",2019-09-01 09:15:00,2019-09-01 09:19:00,"Europe/Amsterdam","Running",4
"82",2019-09-02 08:04:00,2019-09-02 08:23:00,"Europe/Amsterdam","Running",19
"83",2019-09-03 09:22:00,2019-09-03 09:38:00,"Europe/Amsterdam","Walking",16
"84",2019-09-03 14:06:00,2019-09-03 14:10:00,"Europe/Amsterdam","Walking",4
"85",2019-09-04 18:14:00,2019-09-04 18:21:00,"Europe/Amsterdam","Walking",7
"86",2019-09-20 07:00:00,2019-09-20 07:20:00,"Europe/Amsterdam","Pilates",20
"87",2019-09-20 08:30:00,2019-09-20 08:45:00,"Europe/Amsterdam","Cycling",15
"88",2019-09-20 09:52:00,2019-09-20 10:21:00,"Europe/Amsterdam","Walking",29
"89",2019-09-20 13:56:00,2019-09-20 14:29:00,"Europe/Amsterdam","Walking",33
"90",2019-09-20 15:00:00,2019-09-20 15:20:00,"Europe/Amsterdam","Cycling",20
"91",2019-09-25 08:55:00,2019-09-25 09:08:00,"Europe/Amsterdam","Walking",13
"92",2019-09-25 18:58:00,2019-09-25 19:11:00,"Europe/Amsterdam","Walking",13
"93",2019-09-28 08:15:00,2019-09-28 08:32:00,"Europe/Amsterdam","Running",17
"94",2019-09-28 08:33:00,2019-09-28 08:42:00,"Europe/Amsterdam","Walking",9
