"","de","a","ciudad","tipo","dif"
"26",2018-11-18 14:15:00,2018-11-18 14:47:00,"Europe/Madrid","Walking",32
"27",2018-11-18 18:22:00,2018-11-18 18:34:00,"Europe/Madrid","Walking",12
"28",2018-11-19 08:20:00,2018-11-19 08:40:00,"Europe/Madrid","Swimming",20
"29",2018-11-19 10:14:00,2018-11-19 10:31:00,"Europe/Madrid","Walking",17
"30",2018-11-19 13:07:00,2018-11-19 13:25:00,"Europe/Madrid","Walking",18
"31",2018-11-19 15:16:00,2018-11-19 15:33:00,"Europe/Madrid","Walking",17
"32",2018-11-19 19:59:00,2018-11-19 20:17:00,"Europe/Madrid","Walking",18
"33",2018-11-21 08:20:00,2018-11-21 09:20:00,"Europe/Madrid","Swimming",60
"34",2018-11-21 12:17:00,2018-11-21 12:24:00,"Europe/Madrid","Running",7
"35",2018-11-21 12:43:00,2018-11-21 12:54:00,"Europe/Madrid","Walking",11
"36",2018-11-21 15:16:00,2018-11-21 15:33:00,"Europe/Madrid","Walking",17
"37",2018-11-21 17:44:00,2018-11-21 17:59:00,"Europe/Madrid","Walking",15
"38",2018-11-21 19:32:00,2018-11-21 19:41:00,"Europe/Madrid","Walking",9
"39",2018-11-21 19:42:00,2018-11-21 19:47:00,"Europe/Madrid","Running",5
"40",2018-11-22 11:49:00,2018-11-22 11:53:00,"Europe/Madrid","Walking",4
"41",2018-11-22 17:40:00,2018-11-22 18:00:00,"Europe/Madrid","Walking",20
"42",2018-11-22 18:16:00,2018-11-22 18:21:00,"Europe/Madrid","Walking",5
"43",2018-11-22 18:29:00,2018-11-22 18:42:00,"Europe/Madrid","Walking",13
"44",2018-11-24 18:17:00,2018-11-24 18:26:00,"Europe/Madrid","Walking",9
"45",2018-11-26 08:30:00,2018-11-26 09:30:00,"Europe/Madrid","Swimming",60
"46",2018-11-26 10:21:00,2018-11-26 10:42:00,"Europe/Madrid","Walking",21
"47",2018-11-26 13:08:00,2018-11-26 13:27:00,"Europe/Madrid","Walking",19
"48",2018-11-26 16:54:00,2018-11-26 17:10:00,"Europe/Madrid","Walking",16
"49",2018-11-26 20:04:00,2018-11-26 20:22:00,"Europe/Madrid","Walking",18
"50",2018-11-27 07:15:00,2018-11-27 08:15:00,"Europe/Madrid","Pilates",60
"51",2018-11-28 08:15:00,2018-11-28 09:15:00,"Europe/Madrid","Swimming",60
"52",2018-11-28 12:41:00,2018-11-28 12:48:00,"Europe/Madrid","Walking",7
"53",2018-11-28 12:49:00,2018-11-28 12:53:00,"Europe/Madrid","Running",4
"54",2018-11-28 15:14:00,2018-11-28 15:34:00,"Europe/Madrid","Walking",20
"55",2018-11-28 17:55:00,2018-11-28 18:11:00,"Europe/Madrid","Walking",16
"56",2018-11-28 20:08:00,2018-11-28 20:27:00,"Europe/Madrid","Walking",19
"57",2018-12-03 09:52:00,2018-12-03 10:11:00,"Europe/Madrid","Walking",19
"58",2018-12-03 13:01:00,2018-12-03 13:23:00,"Europe/Madrid","Walking",22
"59",2018-12-03 17:24:00,2018-12-03 17:43:00,"Europe/Madrid","Walking",19
"60",2018-12-03 20:06:00,2018-12-03 20:20:00,"Europe/Madrid","Walking",14
"61",2018-12-04 17:45:00,2018-12-04 17:58:00,"Europe/Madrid","Walking",13
"62",2018-12-04 21:42:00,2018-12-04 21:52:00,"Europe/Madrid","Walking",10
"63",2018-12-04 22:03:00,2018-12-04 22:18:00,"Europe/Madrid","Walking",15
"64",2018-12-05 12:29:00,2018-12-05 12:45:00,"Europe/Madrid","Walking",16
"65",2018-12-05 15:08:00,2018-12-05 15:26:00,"Europe/Madrid","Walking",18
"66",2018-12-05 17:51:00,2018-12-05 17:58:00,"Europe/Madrid","Walking",7
"67",2018-12-05 19:56:00,2018-12-05 20:16:00,"Europe/Madrid","Walking",20
"68",2018-12-06 16:24:00,2018-12-06 16:49:00,"Europe/Madrid","Walking",25
"69",2018-12-06 19:10:00,2018-12-06 19:25:00,"Europe/Madrid","Walking",15
"70",2018-12-07 07:42:00,2018-12-07 07:50:00,"Europe/Madrid","Running",8
"71",2019-02-17 18:03:00,2019-02-17 19:02:00,"Europe/Madrid","Other",59
"72",2019-02-18 17:37:00,2019-02-18 17:54:00,"Europe/Madrid","Walking",17
"73",2019-02-18 19:59:00,2019-02-18 20:18:00,"Europe/Madrid","Walking",19
"74",2019-02-24 07:00:00,2019-02-24 07:10:00,"Europe/Madrid","Ski",10
"75",2019-02-24 13:37:00,2019-02-24 13:51:00,"Europe/Madrid","Walking",14
"76",2019-02-25 17:58:00,2019-02-25 18:10:00,"Europe/Madrid","Walking",12
"77",2019-02-25 20:05:00,2019-02-25 20:18:00,"Europe/Madrid","Walking",13
"78",2019-02-26 08:21:00,2019-02-26 08:25:00,"Europe/Madrid","Running",4
"79",2019-02-27 16:54:00,2019-02-27 17:10:00,"Europe/Madrid","Walking",16
"80",2019-02-27 20:06:00,2019-02-27 20:27:00,"Europe/Madrid","Walking",21
"81",2019-02-28 15:01:00,2019-02-28 15:11:00,"Europe/Madrid","Walking",10
"82",2019-02-28 17:08:00,2019-02-28 17:22:00,"Europe/Madrid","Walking",14
"83",2019-02-28 18:16:00,2019-02-28 18:31:00,"Europe/Madrid","Walking",15
"84",2019-03-01 07:19:00,2019-03-01 07:27:00,"Europe/Madrid","Walking",8
"85",2019-03-01 07:28:00,2019-03-01 07:33:00,"Europe/Madrid","Running",5
"86",2019-03-01 07:34:00,2019-03-01 07:38:00,"Europe/Madrid","Walking",4
"87",2019-03-01 11:59:00,2019-03-01 12:09:00,"Europe/Madrid","Walking",10
"88",2019-03-01 13:47:00,2019-03-01 14:00:00,"Europe/Madrid","Walking",13
"89",2019-03-01 19:01:00,2019-03-01 19:55:00,"Europe/Madrid","Walking",54
"90",2019-03-02 08:15:00,2019-03-02 09:15:00,"Europe/Madrid","Pilates",60
"91",2019-03-02 09:24:00,2019-03-02 09:30:00,"Europe/Madrid","Walking",6
"92",2019-03-02 11:14:00,2019-03-02 11:37:00,"Europe/Madrid","Walking",23
